xh_initial,qh_initial
0.014136091,0.016547264
0.002038799,0.013471373
0.03211399,0.043692308
-0.006466968,-0.018455189
0.021024391,0.028353457
0.006283197,0.010047316
-0.006532465,-0.002718177
0.001176404,0.004813268
0.030313793,0.040572517
-0.004309008,-0.013255685
-0.01794823,-0.019729076
-0.001815581,0.007396789
-0.005212365,-0.026694746
0.027520873,0.039532164
-0.002841923,-0.015414041
-0.012355875,-0.008056222
0.017588895,0.015148897
0.011578796,0.015093055
0.007887412,0.000447177
-0.006938006,-0.00955414
-0.007048908,-0.00552829
0.003106504,0.013500482
-0.062151351,-0.064644316
0.007005222,0.003111537
-0.043847609,-0.042233357
-0.020706475,-0.017189836
0.014191777,0.010899873
0.009812704,0.016800401
-0.002173742,-0.016954377
-0.020416527,-0.021197868
0.022483409,0.024348049
0.01461738,0.009445174
-0.008881705,-0.004523485
-0.001502418,-0.000311236
-0.016632968,-0.018306351
-0.000309214,-0.00241025
0.00607139,0.007057477
0.000982549,0.002272871
0.002346303,-0.001259843
0.010983804,0.016020183
-0.008892805,-0.019305978
-0.015293769,-0.006266616
0.012361648,0.010128034
0.031334797,0.03279102
0.002578916,0.000671633
-0.006676923,0.00158643
-0.005225333,-0.00572647
-0.001550762,0.005146743
-0.014570662,-0.021883572
0.022289267,0.02935311
-0.01048158,-0.018102561
-0.008347199,-0.007830805
-0.008044258,-0.006773973
-0.019997091,-0.024339882
-0.017672621,-0.014237158
0.00555021,0.005660009
0.000741387,0.000711606
0.020939264,0.020427953
0.019633918,0.011086475
-0.004395425,-0.001629073
-0.005044621,-0.004330363
0.002209112,-0.000630318
-0.018451851,-0.015452539
0.005382554,0.005765535
0.005574543,0.00433121
-0.000337328,-0.002092846
-0.01573244,-0.015761042
-0.038006249,-0.040550139
0.001109486,0.000740292
0.022568133,0.023739072
-0.03288832,-0.028706562
0.013159191,0.011362099
-0.009797349,-0.006887789
-0.005273794,-0.003434112
0.013536828,0.009189189
0.016129303,0.014461703
0.003393392,0.005081837
0.013096281,0.011162913
0.000250284,0.0018183
-0.011805881,-0.015233033
0.020786267,0.021787783
0.005412092,0.004058494
0.031458269,0.0357372
-0.000456644,0.004150406
0.009590791,0.009438618
-0.000806519,-0.003239015
-0.010483963,-0.009380748
0.014331171,0.016339667
-0.028954145,-0.031910359
0.003527649,-0.001321004
0.00510278,0.005668934
0.002093427,0.006701741
0.013116005,0.012629876
0.004732124,-0.000245761
-0.003560796,-0.002765487
-0.006653717,-0.0067172
0.015193747,0.020163792
0.019518936,0.016298729
0.000884688,0.006343127
0.000419481,-0.005351727
-0.017550901,-0.016560053
-0.010023596,-0.012097264
0.004785396,0.002522922
-0.018069704,-0.018045667
0.013807913,0.018439805
-0.01573179,-0.010311177
0.005814645,0.002232558
-0.002668168,-0.000680651
0.004942144,0.000495356
0.013022191,0.011635103
-0.004156291,-0.000672948
0.013262143,0.009611264
-0.001186834,-0.000545719
-0.009904059,-0.006916217
-0.000583183,-0.003115645
-0.010070391,-0.006005638
0.015338365,0.00998767
0.01171499,0.009644732
0.004031929,0.0047763
0.008705278,0.012696311
-0.005943293,-0.006357695
-0.001997942,-0.005561203
0.013604788,0.014672279
-0.005477413,-0.00320019
0.001604265,0.002615933
0.000148856,-0.005158918
-0.018940657,-0.013113191
-1.51708e-05,0.001389141
0.006556909,0.001206273
-0.005254162,-0.003674699
-0.015263914,-0.014087913
-0.005726912,-0.002575739
-0.006641989,-0.00694786
-0.01486836,-0.010835242
0.009785627,-0.000625939
0.005766243,0.005386446
-0.025567324,-0.025355096
-0.000930001,-0.002748482
-0.001509859,0.004037944
0.002678285,0.001340568
0.007495782,0.003888818
-0.002581488,-0.0030482
-0.013824768,-0.015797185
0.008540753,0.011908614
-0.008832866,-0.007419252
0.005021835,0.007861331
0.007493509,0.006393453
-0.005969332,-0.006098723
0.000307629,-0.000894855
-0.031592773,-0.03320325
0.00107179,0.000463208
-0.011856375,-0.002844103
-0.003999545,-0.007495357
-0.005059798,-0.003876228
-0.002969652,-0.003086213
0.015924806,0.008143213
0.000869548,0.002136182
-0.016130911,-0.013122835
0.010366376,0.0079649
0.005997288,0.002812563
0.001461258,0.0039399
-0.018865604,-0.016163363
0.003401211,-0.00358326
-0.003909613,0.002578369
