month,ID,country,debt_inf,debt_out,eq_inf,eq_out,fdi_inf,fdi_out,other_inf,other_out,port_inf,port_out,中文名称,iso2,GPRC,GPRHC
1995-04-01T00:00:00Z,DNK,Denmark,,,,,,,,,,,丹麦,DK,0.0184331797063351,0.0195045843720436
1995-04-01T00:00:00Z,ESP,Spain,,,,,0.9684908,-0.1126776,-5.9853268,-4.6694134,0.657286,0.7538668,西班牙,ES,0.0700460821390152,0.0487614572048187
1995-04-01T00:00:00Z,FIN,Finland,,,,,,,,,,,芬兰,FI,0.0110599081963301,0
1995-04-01T00:00:00Z,FRA,France,,,,,,,,,,,法国,FR,0.431336402893066,0.458357721567154
1995-04-01T00:00:00Z,HUN,Hungary,,,,,,,,,,,匈牙利,HU,0.0221198163926601,0.0292568746954203
1995-04-01T00:00:00Z,IDN,Indonesia,,,,,,,,,,,印度尼西亚,ID,0.0626728087663651,0.0877706259489059
1995-04-01T00:00:00Z,IND,India,,,,,0.149,,,,,,印度,IN,0.202764973044395,0.243807300925255
1995-04-01T00:00:00Z,ITA,Italy,,,,,0.006707,0.9134934,,,,,意大利,IT,0.0552995391190052,0.0585137493908405
1995-04-01T00:00:00Z,JPN,Japan,,,,,,,,,,,日本,JP,0.291244238615036,0.292568743228912
1995-04-01T00:00:00Z,MEX,Mexico,,,,,,,,,,,墨西哥,MX,0.117972351610661,0.175541251897812
1995-04-01T00:00:00Z,MYS,Malaysia,,,,,,,,,,,马来西亚,MY,0.0294930879026651,0.0292568746954203
1995-04-01T00:00:00Z,NLD,Netherlands,,,,,,,,,,,荷兰,NL,0.0626728087663651,0.0390091687440872
1995-04-01T00:00:00Z,PHL,Philippines,,,,,,,,,,,菲律宾,PH,0.106912441551685,0.156036674976349
1995-04-01T00:00:00Z,POL,Poland,,,,,,,,,,,波兰,PL,0.0368663594126701,0.0292568746954203
1995-04-01T00:00:00Z,PRT,Portugal,,,,,,,,,,,葡萄牙,PT,0.0184331797063351,0
1995-04-01T00:00:00Z,SWE,Sweden,,,,,,,,,,,瑞典,SE,0.0258064512163401,0.0292568746954203
1995-04-01T00:00:00Z,THA,Thailand,,,,,,,,,,,泰国,TH,0.0331797227263451,0.0390091687440872
1995-04-01T00:00:00Z,TUR,Türkiye,0.2,,-0.014,,0.022,0.003,0.964,-0.094,0.186,0.024,土耳其,TR,0.169585257768631,0.195045828819275
1995-04-01T00:00:00Z,UKR,Ukraine,,,,,,,,,,,乌克兰,UA,0.0552995391190052,0.0195045843720436
1995-04-01T00:00:00Z,ZAF,South Africa,0.0161728825374695,,0.0847682119205298,,,,,,0.100941093444824,,南非,ZA,0.0884792655706406,0.10727521032095
1995-05-01T00:00:00Z,BEL,Belgium,,,,,,,,,,,比利时,BE,0.116291746497154,0.11857707798481
1995-05-01T00:00:00Z,BRA,Brazil,0.263043,-0.084188529,1.101638,0.075009529,0.481828,0.181948,1.454447,0.281600509,1.36468103027344,-0.00917900085449219,巴西,BR,0.0181705858558416,0.0296442694962025
