date,Debt,Equity,Total,country1,name,iso3
2006-08-01,445.16813681766894,44.45586318233114,489.6240000000001,Brazil,Brazil,BRA
2006-12-01,1633.327898589821,285.2551014101787,1918.5829999999996,Brazil,Brazil,BRA
2006-02-01,1991.3992999999998,1699.927999999999,3691.327299999999,Brazil,Brazil,BRA
2006-01-01,-865.4630400000001,1095.1443199999999,229.6812799999998,Brazil,Brazil,BRA
2006-07-01,-447.59116427376597,610.9491642737659,163.3579999999999,Brazil,Brazil,BRA
2006-06-01,-3737.4780841593865,-188.79291584061355,-3926.271,Brazil,Brazil,BRA
2006-03-01,2469.711300745016,-151.79799074501574,2317.9133100000004,Brazil,Brazil,BRA
2006-05-01,-480.940389840861,1733.8515929658618,1252.9112031250008,Brazil,Brazil,BRA
2006-11-01,2166.9022318168404,439.20976818315927,2606.1119999999996,Brazil,Brazil,BRA
2006-10-01,589.1410433894799,2244.866956610521,2834.0080000000007,Brazil,Brazil,BRA
2006-09-01,2841.8415377602987,-49.63553776029754,2792.206000000001,Brazil,Brazil,BRA
2007-04-01,2843.7670786436192,2677.050921356382,5520.818000000001,Brazil,Brazil,BRA
2007-08-01,1682.1777962031645,-50.040000000001164,1632.1377962031634,Brazil,Brazil,BRA
2007-12-01,-343.2370690083224,7513.384482570009,7170.147413561686,Brazil,Brazil,BRA
2007-02-01,1255.5849788790997,2301.791021120901,3557.3760000000007,Brazil,Brazil,BRA
2007-01-01,1433.35264262967,374.7143573703291,1808.066999999999,Brazil,Brazil,BRA
2007-07-01,1284.5475516608008,6502.960504065501,7787.508055726301,Brazil,Brazil,BRA
2007-06-01,4300.636104105434,485.60289589456994,4786.239000000004,Brazil,Brazil,BRA
2007-03-01,3781.253060658475,-66.03910753347445,3715.2139531250004,Brazil,Brazil,BRA
2007-05-01,2980.8938283376965,1810.5696117257796,4791.463440063476,Brazil,Brazil,BRA
2007-11-01,-495.86717753458385,-389.77496800000245,-885.6421455345862,Brazil,Brazil,BRA
2007-10-01,1669.8098252448074,4366.374720473746,6036.184545718553,Brazil,Brazil,BRA
2007-09-01,1799.1349976743572,690.7415045062959,2489.876502180653,Brazil,Brazil,BRA
2008-04-01,-1496.3289972993366,5904.62672855008,4408.297731250743,Brazil,Brazil,BRA
2008-08-01,2451.3850478392915,-1626.0567587551493,825.3282890841422,Brazil,Brazil,BRA
2008-12-01,-4463.215692811398,-911.4233799745866,-5374.639072785985,Brazil,Brazil,BRA
2008-02-01,2925.209679843772,-269.5449584766892,2655.6647213670826,Brazil,Brazil,BRA
2008-01-01,1945.6860038176062,-3080.992848632649,-1135.3068448150427,Brazil,Brazil,BRA
2008-07-01,5172.039855685844,-157.20382734590768,5014.836028339936,Brazil,Brazil,BRA
2008-06-01,807.0591110478765,-401.6815899273977,405.37752112047883,Brazil,Brazil,BRA
2008-03-01,4065.537807627537,1283.6742122756928,5349.21201990323,Brazil,Brazil,BRA
2008-05-01,1001.0201248306704,1391.9993264060276,2393.019451236698,Brazil,Brazil,BRA
2008-11-01,-2613.534662131609,-1756.5368099561108,-4370.0714720877195,Brazil,Brazil,BRA
2008-10-01,-1808.4496515299566,-6065.19324391554,-7873.642895445497,Brazil,Brazil,BRA
