iso3,month,gprhc,gprc
ARG,1993-02-01,0.0574107728898525,0.0376350171864033
ARG,1993-03-01,0.0177651438862085,0.0305768847465515
ARG,1993-04-01,0.0179051030427217,0.0208058804273605
ARG,1993-05-01,0.0262743029743433,0.0308790225535631
ARG,1993-06-01,0.0266335234045982,0.0138131082057953
ARG,1993-07-01,0.0374181494116783,0.0249670073390007
ARG,1993-08-01,0.0281425882130861,0.018530186265707
ARG,1993-09-01,0.0273922570049763,0.0139655051752925
ARG,1993-10-01,0.0579806193709374,0.0612369887530804
ARG,1993-11-01,0.0605798363685608,0.0304527301341295
ARG,1993-12-01,0,0.0105578042566776
ARG,1994-01-01,0.00883236154913902,0.0136654023081064
ARG,1994-02-01,0.0291743651032448,0.0256147533655167
ARG,1994-03-01,0.0177967604249716,0.0265120137482882
