中文名称,country,iso3,iso2,date,Debt,Equity,Total
巴西,Brazil,BRA,BR,1997-08,1328.111,878.0,2206.111
新兴市场,,,,1997-08,2575.554875642783,1940.410389094534,4515.965264737318
印度,India,IND,IN,1997-08,-8.79585815286978,149.7801035461781,140.9842453933083
韩国,Korea (Republic of),KOR,KR,1997-08,772.0,55.9,827.9
墨西哥,Mexico,MEX,MX,1997-08,176.1,,
南非,South Africa,ZAF,ZA,1997-08,217.1397337956533,801.7302855483563,1018.87001934401
土耳其,Türkiye,TUR,TR,1997-08,91.0,55.0,146.0
巴西,Brazil,BRA,BR,1997-12,-2300.047,-159.124,-2459.171
新兴市场,,,,1997-12,-3068.625600781495,433.1954526784139,-2635.430148103082
印度,India,IND,IN,1997-12,-13.35939605331829,-134.1548512071771,-147.5142472604954
韩国,Korea (Republic of),KOR,KR,1997-12,-1303.5,332.9,-970.6
墨西哥,Mexico,MEX,MX,1997-12,468.7,,
南非,South Africa,ZAF,ZA,1997-12,60.58079527182301,397.574303885591,458.155099157414
土耳其,Türkiye,TUR,TR,1997-12,19.0,-4.0,15.0
巴西,Brazil,BRA,BR,1997-02,1145.112,1182.084,2327.196
新兴市场,,,,1997-02,3109.398343142733,1572.463522119961,4681.861865262695
韩国,Korea (Republic of),KOR,KR,1997-02,921.3,-54.2,867.0999999999999
墨西哥,Mexico,MEX,MX,1997-02,459.2,,
南非,South Africa,ZAF,ZA,1997-02,227.7863431427333,433.5795221199614,661.3658652626947
土耳其,Türkiye,TUR,TR,1997-02,356.0,11.0,367.0
巴西,Brazil,BRA,BR,1997-01,-62.011,1253.043,1191.032
新兴市场,,,,1997-01,683.0407675244312,1757.519426687809,2440.56019421224
韩国,Korea (Republic of),KOR,KR,1997-01,372.7,471.2,843.9
墨西哥,Mexico,MEX,MX,1997-01,-306.2,,
南非,South Africa,ZAF,ZA,1997-01,473.5517675244311,-1.723573312190832,471.8281942122403
土耳其,Türkiye,TUR,TR,1997-01,205.0,35.0,240.0
