date,gdp,ca,net_ex,export,import,net_fa,fa_in,fa_out,net_fdi,fdi,ofdi,net_fpi,fpi,ofpi,derivative,reserve,other_net,other_in,other_out,err_ommit
2000-12-31,3526.93233894155,74.7722430870538,67.2100893323037,679.20654741,-611.996458077696,109.283958701503,-26.9468285935718,136.230787295075,114.52035097,-17.10763903,131.62799,-32.793138,-69.09712,36.303982,0,-56.569,27.5567457315033,59.2579304364282,-31.7011847049249,-127.412191788557
2001-03-31,2909.67661401058,59.9441965863044,55.6128648038045,608.48043437,-552.867569566195,58.3913651516791,-136.226674848321,194.61804,71.92100097,-2.55179903,74.4728,-25.71696,-93.9443,68.22734,0,-106.13,12.1873241816791,-39.7305758183209,51.9179,-11.8527317379835
2001-06-30,3229.00717245712,-8.95826776869546,46.7089958038046,665.06451491,-618.355519106195,131.571460641459,26.6240306414587,104.94743,111.25737903,-9.52516097,120.78254,-74.32176,-23.3389,-50.98286,0,-49.59,94.6358416114587,59.4880916114587,35.14775,-73.1681628727632
2001-09-30,3423.17775978929,50.046823075826,75.5950488965759,715.25771526,-639.662666363424,96.0919445401123,-93.2955054598877,189.38745,106.60501,-0.70915,107.31416,-19.09836,-32.58395,13.48559,0,-150.2846353,8.58529454011227,-60.0024054598877,68.5877,4.31320768406173
2001-12-31,3831.98150668933,73.019997922283,102.9452934771,731.797440618941,-628.852147141841,62.2348937644598,135.62897035931,-73.39407659485,83.7755406384249,-56.067870766725,139.84341140515,-74.922214925703,-56.675632925703,-18.246582,0,-167.246661927289,53.3815680517378,248.372474051738,-194.990906,32.1519653013746
2002-03-31,3176.95244538952,86.1776054170551,77.5826872070284,663.538272933904,-585.955585726875,129.527091914719,55.0849625759992,74.44212933872,91.646582380661,-2.741567958059,94.38815033872,-23.219726881636,-23.974176881636,0.75445,0,-152.681902772711,61.1002364156942,81.8007074156942,-20.700471,-62.8890757315677
2002-06-30,3527.2342122114,49.3776516364829,85.6149180777489,802.615199471669,-717.00028139392,-6.80852247709116,-86.255799901796,79.4472774247049,135.485904805988,-1.174963415344,136.660868221332,-46.806639556419,-40.301719556419,-6.50492,0,-158.7928,-95.4877877266601,-44.779116930033,-50.7086707966271,116.333985462243
2002-09-30,3776.4349114809,66.9695512568978,79.2578754051509,905.576240402668,-826.318364997517,134.809982965992,-35.3799302637782,170.18991322977,138.493532796639,-0.779178093403998,139.272710890043,-45.183855685218,-44.753319685218,-0.430536,0,-162.0615,41.5003058545708,10.1525675148438,31.347738339727,-39.5722843431027
2002-12-31,4224.69073161303,151.694873824898,131.371231950265,958.29339642624,-826.922164475976,65.8761329988414,-110.345804537524,176.221937536365,102.269671804518,-20.4883650369768,122.758036841495,11.785371605021,-11.915883394979,23.701255,0,-281.5344,-48.1789104106979,-77.9415561055679,29.76264569487,64.0699240254809
2003-03-31,3603.08537326896,26.0835366815762,-0.707894802385795,889.114080323741,-889.821975126127,231.821224116067,76.5321789542267,155.28904516184,111.891960031427,-7.95713127998039,119.849091311407,-40.938938704145,-44.183610704145,3.244672,0,-359.0245,160.868202788785,128.672920938352,32.1952818504329,101.239785644798
2003-06-30,3930.93908189935,82.2816472077889,70.4448101399289,1040.25450833015,-969.809698190222,211.192820046075,46.165694962627,165.027125083448,156.106066550524,-1.68044170998874,157.786508260513,-1.992654356804,-5.437325356804,3.444671,0,-162.39914,57.0794078523549,53.2834620294198,3.7959458229351,-130.968854906907
2003-09-30,4263.74861064128,85.50170419652,76.2217536682892,1188.05180298723,-1111.83004931894,160.41126441772,43.6335370941192,116.777727323601,89.9904345729907,6.67168449237373,83.318750080617,15.8675664241353,13.9307204241353,1.936846,0,-344.243,54.5532634205943,23.0311321776102,31.5221312429841,98.4333685376937
2003-12-31,4804.66361933912,236.648940527459,212.252621657111,1362.16214617502,-1149.90952451791,-54.2144723799614,-316.560552856872,262.346080476911,136.460076283288,2.84595491126024,133.614121372028,141.4351848368,65.6250148368,75.81017,0,-195.81642,-332.10973350005,-385.031522604933,52.9217891048829,13.5329210027496
2004-03-31,4173.59891747346,33.4673579639737,-39.4933520285426,1201.54174115829,-1241.03509318683,367.603676004853,147.247255902057,220.356420102795,125.222734861706,-4.58349416658936,129.806229028295,167.51845481633,152.17998381633,15.338471,0,-375.11114,74.8624863268174,-0.349233747683023,75.2117200745005,-25.8311262099825
2004-06-30,4675.79790982864,58.1215716424069,56.1281893779301,1438.51210398576,-1382.38391460783,300.502680935491,-233.947704584494,534.450385519985,179.018394931172,-6.13851866331393,185.156913594486,109.962670698994,57.6133296989937,52.349341,0,-320.03886,11.5216153053255,-285.422515620174,296.944130925499,-38.4433541786902
2004-09-30,5056.96714874286,172.665076058104,139.622444473521,1604.17439457233,-1464.55195009881,71.7241832845053,-35.9282853682387,107.652468652744,125.320333431594,-4.76995522115024,130.090288652744,-75.3678708776864,-92.8596138776864,17.491743,0,-405.98,21.771720730598,61.7012837305979,-39.9295629999999,161.904528191263
2004-12-31,5647.29052135565,425.155601221133,355.486543576596,1829.34110153078,-1473.85455795419,342.384723049939,107.017781316779,235.36694173316,171.885241450606,-4.141757282553,176.026998733159,-4.67723871716785,-51.5320387171679,46.8548,0,-799.47,175.1767203165,162.6915773165,12.485143,32.0385351210937
2005-03-31,4887.73032078777,238.361897545938,211.136747999303,1591.67117111648,-1380.53442311718,242.726207639076,-60.3883811359237,303.114588775,167.448236317132,-21.2972313983843,188.745467715516,-23.225396176794,-30.097796176794,6.8724,0,-589.99351,98.5033674987386,-8.99335356074539,107.496721059484,98.9264810334658
2005-06-30,5412.08240198151,294.221884444522,290.233875757984,1889.13779192277,-1598.90391616479,319.216341971984,-202.364095481896,521.58043745388,255.585623639913,-20.1017143670942,275.687338007007,15.796286155852,-54.483053844148,70.27934,0,-762.90093,47.8344321762192,-127.779327270654,175.613759446873,137.901696758882
2005-09-30,5932.41307783485,334.94071840426,330.894088409315,2057.36190357404,-1726.46781516473,333.291799380686,-34.0047203990701,367.296519779756,247.087637430033,-4.1204431554574,251.20808058549,81.451425627294,38.171425627294,43.28,0,-574.64384,4.75273632335957,-68.0557028709067,72.8084391942662,-103.341369220692
2005-12-31,6688.61064569113,456.260437269272,414.003263005499,2195.21918735656,-1781.21592435106,17.2382042072149,-548.703631983989,565.941836191204,233.669778255138,-91.7762741077012,325.446052362839,-121.120687328976,-215.159468470132,94.0387811411564,0,-578.95069,-95.3108867189474,-241.767889406155,146.457002687208,95.7267460283133
2006-03-31,5855.56030033043,339.572802768313,278.767397430865,2005.03890687459,-1726.27150944372,277.316663762555,-86.4038231314954,363.720486894051,215.476135691916,-40.2112896068015,255.687425298718,-153.688442016198,-172.829442016198,19.141,0,-683.60739,215.528970086837,126.636908491504,88.8920615953327,57.8674790318839
2006-06-30,6575.83311139224,474.040275271273,464.30173787979,2374.61266939378,-1910.31093151399,229.332756614096,-188.014169997097,417.346926611192,196.779782141758,-23.326542506526,220.106324648284,-137.145691676238,-273.505691676238,136.36,0,-746.46167,169.698666148575,108.818064185667,60.8806019629083,32.4586945026679
2006-09-30,7057.43070299846,605.354177163883,550.618967714438,2671.1092674412,-2120.49029972677,-46.4765966528368,-379.55780901928,333.081212366444,128.434973444015,-75.3675990781305,203.802572522145,-186.501206651632,-232.080206651632,45.579,0,-703.7222,11.5896365547807,-72.1100032895178,83.6996398442985,135.043442590205
2006-12-31,8115.06900568883,899.463155440667,795.501141980836,2866.55303389534,-2071.05189191451,-7.32028186787295,-1017.52363055415,1010.20334868627,460.807480231986,-100.416553483924,561.224033715911,-206.829810516291,-434.361810516291,227.532,0,-713.9734,-261.297951583568,-482.745266553932,221.447314970364,-189.089055282156
