date,xh_initial,qh_initial,R_b,xh_short,xh_mid,xh_long,qh_short,qh_mid,qh_long
2016-04-07,-0.0148087661510409,-0.0112983885904797,5.94520547945206e-05,-0.0177288642986279,0.00135766392452953,-0.253447453826402,-0.0124591001538388,0.00241553737724222,0.0929896027130497
2016-04-08,-0.00734118761470604,-0.00711877107530912,5.97260273972603e-05,-0.00947322211614541,0.000473872150947279,-0.253025149509673,-0.0072471939646968,0.00129988446100955,0.0929826048242322
2016-04-11,0.013927733988756,0.0106289308176102,5.97260273972603e-05,0.0126773433353423,-0.000500122168752972,-0.252605487609469,0.0115631778351345,0.000153484642915154,0.0929740420035099
2016-04-12,-0.0036066994829882,0.000497853008899041,5.97260273972603e-05,-0.00395549049054017,-0.00149050764536463,-0.252188658430394,0.00248148719824686,-0.000979822248246579,0.0929637403942355
2016-04-13,0.0133387189485623,0.011258319338185,6.0054794520548e-05,0.0138386251819718,-0.00242423909098674,-0.251774852277048,0.0142199689762535,-0.00204177136369601,0.0929515262796925
2016-04-14,0.00443063979051805,-0.00572026079468568,6.01369863013699e-05,0.00566507541398765,-0.00323986407445359,-0.251364259454037,-0.00190762245904822,-0.0029765318146189,0.0929372265028849
2016-04-15,-0.00110506344956851,0.00142282709557673,6e-05,0.00072484253560331,-0.00391230443314407,-0.250957070265962,0.00590538307357229,-0.0037298834361908,0.0929206680467472
2016-04-18,-0.0133732248235903,-0.0142080553496418,6.04109589041096e-05,-0.0110972856862666,-0.00443099500070111,-0.250553475017427,-0.00929069708855815,-0.00424760606358725,0.0929016778942136
2016-04-19,0.0030509997057413,0.000313322471487743,6.00821917808219e-05,0.00561465286566195,-0.00478686687195551,-0.250153664013035,0.00537632335233035,-0.0044754795319838,0.0928800830282184
2016-04-20,-0.0176852052002594,-0.0243688529724988,6.04109589041096e-05,-0.0150010390673014,-0.00497085114173804,-0.249757827557387,-0.0195034134392855,-0.00435928367655599,0.0928557104316961
2016-04-21,-0.0064224480749947,6.42095800693632e-05,6.03287671232877e-05,-0.00379385193856344,-0.00497387890487948,-0.249366155955088,0.00436491824866781,-0.00387487708694124,0.0928283870875809
2016-04-22,0.00452445738150997,0.00841091492776891,6.06301369863014e-05,0.0069119418778741,-0.00478630450223903,-0.24897883951074,0.0118760726830171,-0.00311843337062434,0.0927979399788073
2016-04-25,-0.00405367098176312,-0.00432955558385328,6.07671232876712e-05,-0.00208436141953064,-0.00441641929812794,-0.248596068528946,-0.00184434056797878,-0.002216204889552,0.0927641960883094
2016-04-26,0.00541740590696471,0.00492390331244397,6.43835616438356e-05,0.00688035499385884,-0.00395291406023941,-0.248218033314309,0.00641121198563338,-0.00129444400567089,0.0927269823990216
2016-04-27,-0.00416462210143553,-0.00547247852370336,6.43835616438356e-05,-0.00318709723889022,-0.00350472359560507,-0.247844924171432,-0.00487461157379845,-0.00047940308092768,0.0926861258938784
2016-04-28,-0.00168671349876182,-0.00147162326444439,6.07671232876712e-05,-0.00106455481737957,-0.00318078271125653,-0.247476931404917,-0.00152921215139156,0.000103572478411105,0.0926414535558139
2016-04-29,-0.00121180289693656,0.00217864923747291,6.07671232876712e-05,-0.000705830561335392,-0.00309002621422541,-0.247114245319369,0.00179552557299346,0.000358723360223425,0.0925927923677627
2016-05-03,0.0179900213827513,0.0230179028132993,6.04109589041096e-05,0.018696043179567,-0.00330932309096076,-0.246757056219388,0.0226303605621191,0.000295030293762841,0.0925399694617099
2016-05-04,-0.00126962788700313,-0.00368750000000007,6.06849315068493e-05,-9.85281326938555e-05,-0.00378729001406368,-0.246405543441097,-0.00379310778696156,-5.25677202932531e-05,0.0924828125658453
2016-05-05,0.00138964187121826,0.00138008907847698,5.95342465753425e-05,0.00320757494800084,-0.00444057680599804,-0.246059787350171,0.00180800566674159,-0.000649131681267448,0.0924211495574094
2016-05-06,-0.0260025140638224,-0.0326379753179227,6.08219178082192e-05,-0.023439265430886,-0.00518606464377408,-0.245719636957737,-0.0314597075833367,-0.00145972258848234,0.0923548083136429
2016-05-09,-0.020678198923443,-0.021499805724647,5.95342465753425e-05,-0.0173544256319714,-0.00594068980091803,-0.245384886178409,-0.0193981869001225,-0.00244033775369439,0.0922836167117863
2016-05-10,0.00113843203006248,0.00436796823295826,5.95342465753425e-05,0.00515752951936769,-0.00662425211917244,-0.2450553289268,0.00748077659644602,-0.00350563982154604,0.0922074026290801
2016-05-11,0.00446383479249679,0.00566684238270954,5.95342465753425e-05,0.00904410072871627,-0.00716800571314503,-0.244730759117524,0.00976413388462896,-0.00454090808171551,0.0921259939427652
